,fi,en,,,NOTES – use \n for newline,max length
current_language,Suomi,English,,,,
booktitle00,Smaragditaulu - osa I,Emerald Tablet - volume I,,,,
bookdesc00,"Tis totta ilman valehtelee, varma ja eniten totta. \nTämä joka alittaa on sellainen, joka on edellä \nja sitä, mikä on edellä on sellaista, joka on alle \nVoit tehdä ihmeitä yhden ainoa asia. \nja kaikki asiat ovat olleet ja nousi yksi sovittelu yksi: \nSO kaikki ovat niiden syntymästä tästä yhden asian soveltamalla.","Tis true without lying, certain and most true.\nThat which is below is like that which is above\nand that which is above is like that which is below\nto do the miracles of one only thing.\nAnd as all things have been and arose from one by the mediation of one: \nso all things have their birth from this one thing by adaptation.",,,,
booktitle01,Smaragditaulu Tothin,Emerald Tablet of Thoth,,,,
bookdesc01,"Välttämättömyys salaaminen Art on \ mikään päällikkö huolia alkemistien. \nYritämme vaitiolovelvollisuus taivaan ja maan ja helvetin \nValitsemalla neljä elementtiä, jonka korkeus ja syvyys, \nValitsemalla Hermes, Anubis, ja jonka ulvomaan Kerkoros. \nan vala on meiltä vaaditaan paljastamaan \nnothing selvästi mihinkään vihkiytymättömille olento.","The necessity of concealing the Art is\none of the chief anxieties of alchemists. \nWe are sworn to secrecy by heaven and earth and hell,\nby the four elements, by the height and the depth,\nby Hermes, by Anubis,and by the howlings of Kerkoros.\nAn oath has been required of us to reveal\nnothing clearly to any uninitiated being.",,,,
booktitle02,Smaragditaulu - nide II,Emerald Tablet - volume II,,,,
bookdesc02,"Sieltä on syntynyt hengessä lumivalkeana, \nja toinen henki punainen kuin veri, \njoka kaksi henkeä sisältyvät kolmanteen salassa.","Thence is born a spirit white as snow, \nand another spirit red as blood,\nwhich two spirits are contained in a third hidden thing.",,,,
booktitle03,Smaragditaulu - osa III,Emerald Tablet - volume III,,,,
bookdesc03,Vaarin minun varoitus tai kuolema ja hajoaminen seuraa.,Heed my warning or death and decay will follow.,,,,
booktitle04,Smaragditaulu - Osa IV,Emerald Tablet - volume IV,,,,
